ID,name,year,month,day,time,gauge,rebound,m_wet,diameter,height,volume,rho_wet,m_dry,m_water,rho_dry,rho_clay,water_content,Vw,Vs,porosity,saturation,use
-,-,yy,mm,dd,tt,[mm],[mm],[g],[mm],[mm],[mm3],[g/cm3],[g],[g],[g/cm3],[g/cm3],[%],[mm3],[mm3],[%],[%],0/1
1,data1,2021,1,29,10:00,10.4,0.34,11.64,29.26,9.959,6696.6 ,1.74 ,9.5,2.14,1.42 ,2.70 ,0.225,2140,3518.5 ,0.47,0.673,0
2,data2,2021,1,29,10:13,10.39,0.34,11.64,29.26,9.949,6689.9 ,1.74 ,9.5,2.14,1.42 ,2.70 ,0.225,2140,3518.5 ,0.47,0.675,1
3,data3,2021,1,29,10:27,10.39,0.34,11.64,29.26,9.949,6689.9 ,1.74 ,9.5,2.14,1.42 ,2.70 ,0.225,2140,3518.5 ,0.47,0.675,1
4,data4,2021,1,29,10:49,10.38,0.34,11.64,29.26,9.939,6683.2 ,1.74 ,9.5,2.14,1.42 ,2.70 ,0.225,2140,3518.5 ,0.47,0.676,1
5,data5,2021,1,29,11:10,10.37,0.34,11.64,29.26,9.929,6676.4 ,1.74 ,9.5,2.14,1.42 ,2.70 ,0.225,2140,3518.5 ,0.47,0.678,1
6,data6,2021,1,29,14:22,10.35,0.34,11.64,29.26,9.909,6663.0 ,1.75 ,9.5,2.14,1.43 ,2.70 ,0.225,2140,3518.5 ,0.47,0.681,1
7,data7,2021,1,29,14:48,9.9,0.34,11.64,29.26,9.459,6360.4 ,1.83 ,9.5,2.14,1.49 ,2.70 ,0.225,2140,3518.5 ,0.45,0.753,0
8,data8,2021,1,29,17:08,9.88,0.34,11.64,29.26,9.439,6346.9 ,1.83 ,9.5,2.14,1.50 ,2.70 ,0.225,2140,3518.5 ,0.45,0.757,1
9,data9,2021,1,29,17:32,9.88,0.34,11.64,29.26,9.439,6346.9 ,1.83 ,9.5,2.14,1.50 ,2.70 ,0.225,2140,3518.5 ,0.45,0.757,1
10,data10,2021,1,29,17:52,9.4,0.34,11.64,29.26,8.959,6024.2 ,1.93 ,9.5,2.14,1.58 ,2.70 ,0.225,2140,3518.5 ,0.42,0.854,0
11,data11,2021,1,29,18:06,9.39,0.34,11.64,29.26,8.949,6017.5 ,1.93 ,9.5,2.14,1.58 ,2.70 ,0.225,2140,3518.5 ,0.42,0.856,1
12,data12,2021,1,29,18:40,9.38,0.34,11.64,29.26,8.939,6010.7 ,1.94 ,9.5,2.14,1.58 ,2.70 ,0.225,2140,3518.5 ,0.41,0.859,1
13,data13,2021,1,29,19:04,9.38,0.34,11.64,29.26,8.939,6010.7 ,1.94 ,9.5,2.14,1.58 ,2.70 ,0.225,2140,3518.5 ,0.41,0.859,1
14,data14,2021,1,29,19:28,9.38,0.34,11.64,29.26,8.939,6010.7 ,1.94 ,9.5,2.14,1.58 ,2.70 ,0.225,2140,3518.5 ,0.41,0.859,1
15,data15,2021,1,29,20:20,8.88,0.34,11.64,29.26,8.439,5674.5 ,2.05 ,9.5,2.14,1.67 ,2.70 ,0.225,2140,3518.5 ,0.38,0.993,0
16,data16,2021,1,29,21:00,8.86,0.34,11.64,29.26,8.419,5661.1 ,2.06 ,9.5,2.14,1.68 ,2.70 ,0.225,2140,3518.5 ,0.38,0.999,1
17,data17,2021,1,29,21:31,8.86,0.34,11.64,29.26,8.419,5661.1 ,2.06 ,9.5,2.14,1.68 ,2.70 ,0.225,2140,3518.5 ,0.38,0.999,1
18,data18,2021,1,29,22:08,8.86,0.34,11.64,29.26,8.419,5661.1 ,2.06 ,9.5,2.14,1.68 ,2.70 ,0.225,2140,3518.5 ,0.38,0.999,1
19,data19,2021,1,29,22:31,8.86,0.34,11.64,29.26,8.419,5661.1 ,2.06 ,9.5,2.14,1.68 ,2.70 ,0.225,2140,3518.5 ,0.38,0.999,1
20,data20,2021,1,29,23:44,8.86,0.370000000000001,11.64,29.26,8.419,5661.1 ,2.06 ,9.5,2.14,1.68 ,2.70 ,0.225,2140,3518.5 ,0.38,0.999,1
,,,,,除荷時,9.23,,11.64,29.26,8.789,,,9.5,,,2.70 ,,,,,,
