ID,name,year,month,day,time,gauge,rebound,m_wet,diameter,height,volume,rho_wet,m_dry,m_water,rho_dry,rho_clay,water_content,Vw,Vs,porosity,saturation,use
-,-,yy,mm,dd,tt,[mm],[mm,[g],[mm],[mm],[mm3],[g/cm3],[g],[g],[g/cm3],[g/cm3],[%],[mm3],[mm3],[%],[%],0/1
1,data1,2021,2,1,8:57,9.72,0.58,11.52,29.31,9.79,6605.48 ,1.74 ,9.5,2.02,1.44 ,2.70 ,0.213,2020,3518.5 ,0.47,0.65,0
2,data2,2021,2,1,9:20,9.72,0.58,11.52,29.31,9.79,6605.48 ,1.74 ,9.5,2.02,1.44 ,2.70 ,0.213,2020,3518.5 ,0.47,0.65,1
3,data3,2021,2,1,10:00,9.72,0.58,11.52,29.31,9.79,6605.48 ,1.74 ,9.5,2.02,1.44 ,2.70 ,0.213,2020,3518.5 ,0.47,0.65,1
4,data4,2021,2,1,10:30,9.71,0.58,11.52,29.31,9.78,6598.73 ,1.75 ,9.5,2.02,1.44 ,2.70 ,0.213,2020,3518.5 ,0.47,0.66,1
5,data5,2021,2,1,10:40,9.22,0.58,11.52,29.31,9.29,6268.12 ,1.84 ,9.5,2.02,1.52 ,2.70 ,0.213,2020,3518.5 ,0.44,0.73,0
6,data6,2021,2,1,11:20,9.2,0.58,11.52,29.31,9.27,6254.62 ,1.84 ,9.5,2.02,1.52 ,2.70 ,0.213,2020,3518.5 ,0.44,0.74,1
7,data7,2021,2,1,12:00,9.19,0.58,11.52,29.31,9.26,6247.88 ,1.84 ,9.5,2.02,1.52 ,2.70 ,0.213,2020,3518.5 ,0.44,0.74,1
8,data8,2021,2,1,12:30,9.18,0.58,11.52,29.31,9.25,6241.13 ,1.85 ,9.5,2.02,1.52 ,2.70 ,0.213,2020,3518.5 ,0.44,0.74,1
9,data9,2021,2,1,12:40,8.71,0.58,11.52,29.31,8.78,5924.01 ,1.94 ,9.5,2.02,1.60 ,2.70 ,0.213,2020,3518.5 ,0.41,0.84,0
10,data10,2021,2,1,13:20,8.69,0.58,11.52,29.31,8.76,5910.52 ,1.95 ,9.5,2.02,1.61 ,2.70 ,0.213,2020,3518.5 ,0.40,0.84,1
11,data11,2021,2,1,14:00,8.69,0.58,11.52,29.31,8.76,5910.52 ,1.95 ,9.5,2.02,1.61 ,2.70 ,0.213,2020,3518.5 ,0.40,0.84,1
12,data12,2021,2,1,14:40,8.68,0.58,11.52,29.31,8.75,5903.77 ,1.95 ,9.5,2.02,1.61 ,2.70 ,0.213,2020,3518.5 ,0.40,0.85,1
13,data13,2021,2,1,14:50,8.22,0.58,11.52,29.31,8.29,5593.40 ,2.06 ,9.5,2.02,1.70 ,2.70 ,0.213,2020,3518.5 ,0.37,0.97,0
14,data14,2021,2,1,15:30,8.22,0.58,11.52,29.31,8.29,5593.40 ,2.06 ,9.5,2.02,1.70 ,2.70 ,0.213,2020,3518.5 ,0.37,0.97,1
15,data15,2021,2,1,16:10,8.22,0.58,11.52,29.31,8.29,5593.40 ,2.06 ,9.5,2.02,1.70 ,2.70 ,0.213,2020,3518.5 ,0.37,0.97,1
16,data16,2021,2,1,16:40,8.22,0.58,11.52,29.31,8.29,5593.40 ,2.06 ,9.5,2.02,1.70 ,2.70 ,0.213,2020,3518.5 ,0.37,0.97,1
,,,,,除荷時,8.8,,11.52,29.31,8.87,,,9.5,,,2.70 ,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,9.09,紙が抜ける,,,,,,,,,,,,,,,
,,,,,,9.22,完全接触,,,,,,,,,,,,,,,
,,,,,,9.5,セル完全固定,,,,,,,,,,,,,,,
