ID,name,year,month,day,time,gauge,rebound,m_wet,D,h,volume,rho_wet,m_dry,m_water,rho_dry,rho_clay,water_content,Vw,Vs,porosity,saturation,use
-,-,yy,mm,dd,tt,[mm],[mm],[g],[mm],[mm],[mm3],[g/cm3],[g],[g],[g/cm3],[g/cm3],-,[mm3],[mm3],[%],[%],0/1
1,data1,2021,1,26,17:48,9.67,0.4,11.26,29.31,9.37999999999999,6328.8 ,1.78 ,9.47,1.79,1.50 ,2.70 ,0.189,1790,3507.4 ,0.45,0.63,0
2,data2,2021,1,26,18:04,9.67,0.4,11.26,29.31,9.37999999999999,6328.8 ,1.78 ,9.47,1.79,1.50 ,2.70 ,0.189,1790,3507.4 ,0.45,0.63,1
3,data3,2021,1,26,18:17,9.67,0.4,11.26,29.31,9.37999999999999,6328.8 ,1.78 ,9.47,1.79,1.50 ,2.70 ,0.189,1790,3507.4 ,0.45,0.63,1
4,data4,2021,1,26,19:05,9.67,0.4,11.26,29.31,9.37999999999999,6328.8 ,1.78 ,9.47,1.79,1.50 ,2.70 ,0.189,1790,3507.4 ,0.45,0.63,1
5,data5,2021,1,26,19:22,9.67,0.4,11.26,29.31,9.37999999999999,6328.8 ,1.78 ,9.47,1.79,1.50 ,2.70 ,0.189,1790,3507.4 ,0.45,0.63,1
6,data6,2021,1,26,19:31,9.17,0.4,11.26,29.31,8.87999999999999,5991.5 ,1.88 ,9.47,1.79,1.58 ,2.70 ,0.189,1790,3507.4 ,0.41,0.72,0
7,data7,2021,1,26,19:38,9.17,0.4,11.26,29.31,8.87999999999999,5991.5 ,1.88 ,9.47,1.79,1.58 ,2.70 ,0.189,1790,3507.4 ,0.41,0.72,1
8,data8,2021,1,26,19:53,9.15,0.4,11.26,29.31,8.85999999999999,5978.0 ,1.88 ,9.47,1.79,1.58 ,2.70 ,0.189,1790,3507.4 ,0.41,0.72,1
9,data9,2021,1,26,20:30,9.14,0.4,11.26,29.31,8.84999999999999,5971.2 ,1.89 ,9.47,1.79,1.59 ,2.70 ,0.189,1790,3507.4 ,0.41,0.73,1
10,data10,2021,1,27,9:15,9.21,0.4,11.26,29.31,8.91999999999999,6018.5 ,1.87 ,9.47,1.79,1.57 ,2.70 ,0.189,1790,3507.4 ,0.42,0.71,1
11,data11,2021,1,27,9:22,9.21,0.4,11.26,29.31,8.91999999999999,6018.5 ,1.87 ,9.47,1.79,1.57 ,2.70 ,0.189,1790,3507.4 ,0.42,0.71,1
12,data12,2021,1,27,10:06,8.66,0.4,11.26,29.31,8.36999999999999,5647.4 ,1.99 ,9.47,1.79,1.68 ,2.70 ,0.189,1790,3507.4 ,0.38,0.84,0
13,data13,2021,1,27,10:12,8.66,0.4,11.26,29.31,8.36999999999999,5647.4 ,1.99 ,9.47,1.79,1.68 ,2.70 ,0.189,1790,3507.4 ,0.38,0.84,1
14,data14,2021,1,27,10:40,8.66,0.4,11.26,29.31,8.36999999999999,5647.4 ,1.99 ,9.47,1.79,1.68 ,2.70 ,0.189,1790,3507.4 ,0.38,0.84,1
15,data15,2021,1,27,11:05,8.66,0.4,11.26,29.31,8.36999999999999,5647.4 ,1.99 ,9.47,1.79,1.68 ,2.70 ,0.189,1790,3507.4 ,0.38,0.84,1
16,data16,2021,1,27,11:42,8.66,0.4,11.26,29.31,8.37,5647.4 ,1.99 ,9.47,1.79,1.68 ,2.70 ,0.189,1790,3507.4 ,0.38,0.84,1
17,data17,2021,1,27,12:11,8.65,0.4,11.26,29.31,8.36,5640.6 ,2.00 ,9.47,1.79,1.68 ,2.70 ,0.189,1790,3507.4 ,0.38,0.84,1
18,data18,2021,1,27,12:34,8.64,0.4,11.26,29.31,8.35,5633.9 ,2.00 ,9.47,1.79,1.68 ,2.70 ,0.189,1790,3507.4 ,0.38,0.84,1
19,data19,2021,1,27,12:54,8.17,0.4,11.26,29.31,7.88,5316.8 ,2.12 ,9.47,1.79,1.78 ,2.70 ,0.189,1790,3507.4 ,0.34,0.99,0
20,data20,2021,1,27,13:38,8.17,0.4,11.26,29.31,7.88,5316.8 ,2.12 ,9.47,1.79,1.78 ,2.70 ,0.189,1790,3507.4 ,0.34,0.99,1
21,data21,2021,1,27,14:30,8.17,0.4,11.26,29.31,7.88,5316.8 ,2.12 ,9.47,1.79,1.78 ,2.70 ,0.189,1790,3507.4 ,0.34,0.99,1
22,data22,2021,1,27,14:40,8.17,0.4,11.26,29.31,7.88,5316.8 ,2.12 ,9.47,1.79,1.78 ,2.70 ,0.189,1790,3507.4 ,0.34,0.99,1
23,data23,2021,1,27,14:45,8.17,0.4,11.26,29.31,7.88,5316.8 ,2.12 ,9.47,1.79,1.78 ,2.70 ,0.189,1790,3507.4 ,0.34,0.99,1
24,data24,2021,1,27,15:04,8.17,0.4,11.26,29.31,7.88,5316.8 ,2.12 ,9.47,1.79,1.78 ,2.70 ,0.189,1790,3507.4 ,0.34,0.99,1
25,data25,2021,1,27,15:49,8.17,0.4,11.26,29.31,7.88,5316.8 ,2.12 ,9.47,1.79,1.78 ,2.70 ,0.189,1790,3507.4 ,0.34,0.99,1
26,data26,2021,1,27,16:49,8.17,0.4,11.26,29.31,7.88,5316.8 ,2.12 ,9.47,1.79,1.78 ,2.70 ,0.189,1790,3507.4 ,0.34,0.99,1
27,data27,2021,1,27,17:20,8.17,0.4,11.26,29.31,7.88,5316.8 ,2.12 ,9.47,1.79,1.78 ,2.70 ,0.189,1790,3507.4 ,0.34,0.99,1
,,,,,除荷時,8.57,,11.26,29.31,8.28,,,9.47,,,2.7,,,,,,
